Code_CIS;Code_CIP13;Code_Evnt_Pres;Date_Evnt_Pres;Evnt_Pres
65984903;3400949002573;40;09/11/2022;Arrêt de Comm (Autorisation devenue inactive)
65985122;3400930025901;15;18/04/2018;Déclaration de commercialisation
65985122;3400930025918;15;18/04/2018;Déclaration de commercialisation
65986587;3400930198346;15;02/06/2020;Déclaration de commercialisation
65987486;3400936576285;15;17/06/2005;Déclaration de commercialisation
65987568;3400955024606;15;24/05/2017;Déclaration de commercialisation
65988086;3400927847738;15;09/02/2015;Déclaration de commercialisation
65988136;3400936780569;15;30/05/2008;Déclaration de commercialisation
65988645;3400934210389;15;19/09/1997;Déclaration de commercialisation
65988645;3400936685666;15;29/01/2007;Déclaration de commercialisation
65990614;3400930258125;15;29/11/2022;Déclaration de commercialisation
65991171;3400933539283;15;19/11/1996;Déclaration de commercialisation
65991171;3400933539344;15;19/11/1996;Déclaration de commercialisation
65991171;3400955683148;15;19/08/1990;Déclaration de commercialisation
65991171;3400955683209;15;19/08/1990;Déclaration de commercialisation
65991463;3400935130884;15;20/09/2004;Déclaration de commercialisation
65991659;3400935676931;15;07/01/2002;Déclaration de commercialisation
65992266;3400930254172;15;12/04/2023;Déclaration de commercialisation
65993012;3400949460274;15;23/03/2012;Déclaration de commercialisation
65993012;3400949460564;15;22/12/2011;Déclaration de commercialisation
65993012;3400949460854;15;22/12/2011;Déclaration de commercialisation
65993464;3400930149744;15;09/01/2019;Déclaration de commercialisation
65994267;3400934097645;15;18/12/1998;Déclaration de commercialisation
65994267;3400937383158;15;17/07/2009;Déclaration de commercialisation
65995643;3400927675270;15;25/04/2014;Déclaration de commercialisation
65998162;3400934504884;15;19/02/1998;Déclaration de commercialisation
65999410;3400930105153;15;28/02/2018;Déclaration de commercialisation
65999556;3400933961688;15;19/01/1996;Déclaration de commercialisation
65999613;3400941640520;15;14/09/2012;Déclaration de commercialisation
66000321;3400949623686;15;31/08/2011;Déclaration de commercialisation
66001099;3400939289908;15;04/01/2010;Déclaration de commercialisation
66001099;3400939290447;15;04/01/2010;Déclaration de commercialisation
66001124;3400936909274;15;17/11/2005;Déclaration de commercialisation
66002781;3400933435745;15;19/10/1996;Déclaration de commercialisation
66002781;3400958491603;15;01/10/2013;Déclaration de commercialisation
66003374;3400933275815;15;19/04/1991;Déclaration de commercialisation
66003374;3400958121975;15;04/06/2012;Déclaration de commercialisation
66004031;3400934244278;15;01/10/1998;Déclaration de commercialisation
66004227;3400930177723;15;23/11/2020;Déclaration de commercialisation
66005293;3400936424661;15;15/12/2004;Déclaration de commercialisation
66006655;3400934654558;15;20/05/1999;Déclaration de commercialisation
66007465;3400949001101;15;02/05/2017;Déclaration de commercialisation
66007465;3400949001101;40;16/07/2021;Arrêt de Comm (Autorisation devenue inactive)
66007981;3400930021613;15;08/01/2018;Déclaration de commercialisation
66008617;3400930166024;15;16/09/2019;Déclaration de commercialisation
66008962;3400934617478;15;04/09/2014;Déclaration de commercialisation
66008962;3400934617478;16;22/01/2019;Déclaration d'arrêt de commercialisation
66009288;3400958563843;15;27/04/2015;Déclaration de commercialisation
66009498;3400938970319;15;10/03/2010;Déclaration de commercialisation
66009893;3400930163528;15;15/06/2020;Déclaration de commercialisation
66009893;3400930163528;15;14/12/2020;Déclaration de commercialisation
66009893;3400930163528;16;17/06/2020;Déclaration d'arrêt de commercialisation
66010671;3400930000915;15;24/03/2021;Déclaration de commercialisation
66010671;3400938678116;15;26/08/2009;Déclaration de commercialisation
66010671;3400938678116;16;26/03/2021;Déclaration d'arrêt de commercialisation
66010671;3400957312114;15;09/09/2009;Déclaration de commercialisation
66010949;3400930076880;15;12/09/2017;Déclaration de commercialisation
66010949;3400930076880;16;22/05/2022;Déclaration d'arrêt de commercialisation
66011467;3400926689728;15;02/05/2013;Déclaration de commercialisation
66011780;3400936075764;15;06/10/2010;Déclaration de commercialisation
66012868;3400927407871;15;02/06/2014;Déclaration de commercialisation
66013347;3400930083758;15;18/05/2017;Déclaration de commercialisation
66014762;3400933133085;15;19/04/1989;Déclaration de commercialisation
66015693;3400933867966;15;16/03/2009;Déclaration de commercialisation
66016628;3400927889721;15;18/12/2014;Déclaration de commercialisation
66017203;3400937472258;15;06/07/2006;Déclaration de commercialisation
66017203;3400937472548;15;05/08/2008;Déclaration de commercialisation
66017541;3400938260199;15;03/03/2008;Déclaration de commercialisation
66019147;3400937763103;15;05/03/2007;Déclaration de commercialisation
66019147;3400937763271;15;05/03/2007;Déclaration de commercialisation
66019460;3400935001573;15;10/09/1999;Déclaration de commercialisation
66019460;3400935001573;16;01/03/2021;Déclaration d'arrêt de commercialisation
66022232;3400933186654;15;19/08/1990;Déclaration de commercialisation
66023836;3400932530908;15;19/06/1992;Déclaration de commercialisation
66024532;3400955259480;15;01/01/1980;Déclaration de commercialisation
66024532;3400955259480;40;09/04/2018;Arrêt de Comm (Autorisation devenue inactive)
66024831;3400930088685;15;02/12/2021;Déclaration de commercialisation
66024831;3400930088692;15;02/12/2021;Déclaration de commercialisation
66025367;3400955077169;15;01/01/2022;Déclaration de commercialisation
66027553;3400936409705;15;19/03/2007;Déclaration de commercialisation
66028705;3400937459990;15;10/01/2011;Déclaration de commercialisation
66028705;3400937459990;15;30/06/2014;Déclaration de commercialisation
